,GPA,Loan rate,Enrollment,Endowment,Graduation rate,SAT,Accept ratio,Tuition,Public/Private,Money_used,University_Tag
123,3.5,0.967109867,12871,663806.5,0.67,1107,0.76,18067,1,1,UNH
124,3.7,0.937676583,13251,659319.0,0.68,1214,0.75,52002,0,1,DU
125,3.9,0.979524073,6265,655731.0,0.61,1368,0.44,52305,0,1,RPI
126,3.9,0.8815221659999999,22658,644308.5,0.47,1218,0.81,10968,1,1,AU
127,3.85,0.987315011,25556,640327.5,0.54,1275,0.68,12262,1,1,Carolina
128,3.59,0.88200313,9258,640201.5,0.74,1273,0.45,50601,0,1,FU
129,4.0,0.9098075590000001,18599,634952.5,0.59,1275,0.51,14712,1,1,CU
130,3.8,0.935042735,2225,629177.5,0.78,1208,0.78,47838,0,0,DePauw
131,3.6,0.82113393,42477,627889.0,0.49,1143,0.83,10792,1,1,Arizona
132,3.64,0.919175911,2797,620564.0,0.78,1310,0.68,48348,0,0,FU
133,3.7,0.8940355329999999,5754,620064.5,0.66,1249,0.53,48669,0,1,UoDS
134,3.6,0.860277886,20411,610128.5,0.58,1173,0.59,9770,1,1,UB
135,3.5,0.844964029,2809,605762.5,0.48,1034,0.48,41450,0,0,UoLV
136,3.6,0.861093144,19213,604633.0,0.37,1118,0.78,8290,1,0,Ole Miss
137,3.85,0.7547573009999999,32929,594902.0,0.61,1215,0.58,6507,1,1,FSU
138,3.7,0.948698316,7901,588627.5,0.76,1252,0.26,46615,0,1,AU
139,3.86,0.964966512,6999,552447.5,0.86,1326,0.44,51434,0,1,Nova
140,3.57,0.911838791,8238,550832.0,0.6,1219,0.74,39900,0,1,Marquette
141,3.7,0.865758755,2259,543220.5,0.8,1325,0.34,54770,0,0,Trinity
142,4.0,0.754217901,28127,542225.5,0.59,1344,0.36,16183,1,1,UoCD
143,3.7,0.9146678970000001,11129,539013.0,0.65,1195,0.73,42828,0,1,LUC
144,3.5,0.88402379,22350,522491.5,0.32,1073,0.76,8376,1,0,WVU
145,3.9,0.9289617490000001,1427,520856.0,0.86,1383,0.35,52150,0,0,Reed
146,4.0,0.7222222220000001,27331,505537.5,0.71,1175,0.41,15516,1,1,UoC
147,3.7,0.869253528,25327,498957.5,0.33,1112,0.77,10797,1,0,OSU
148,3.7,0.92879257,1493,496224.0,0.83,1314,0.51,49780,0,1,Whitman
149,3.5,0.8763555940000001,23788,494383.0,0.46,1108,0.75,11896,1,0,OU
150,3.7,0.958478851,8330,486764.5,0.58,1187,0.6,41750,0,1,UD
151,4.0,0.655172414,1268,483394.0,0.86,1433,0.21,52754,0,1,Haverf
152,3.5,0.893984608,19472,482276.5,0.31,1160,0.94,9874,1,1,K-State
153,3.9,0.914923292,5711,459889.5,0.66,1236,0.51,47708,0,1,USD
154,3.63,0.889264582,16981,453537.5,0.66,1259,0.8,14578,1,1,Miami
155,3.8,0.986745214,4432,451093.5,0.8,1380,0.48,48628,0,1,WPI
156,3.6,0.95361991,3040,447320.5,0.85,1282,0.45,46000,0,0,St.
157,3.4,0.8546269120000001,18090,446795.5,0.32,1140,0.71,8138,1,0,MSU
158,3.6,0.952882483,6111,442846.5,0.62,1202,0.83,41133,0,1,UoST
159,3.6,0.93965017,29275,440208.5,0.44,1195,0.52,16274,1,1,TU
160,3.5,0.818088033,9788,433777.5,0.27,1122,0.95,5217,1,0,UW
161,3.6,0.952554745,1713,433440.5,0.64,1139,0.51,18214,1,0,VMI
162,3.6,0.910606542,15407,429124.5,0.59,1185,0.7,39010,0,1,DPU
163,3.6,0.929640719,6899,414802.0,0.53,1210,0.62,43960,0,1,Hofstra
164,3.4,0.937625755,2203,410756.0,0.81,970,0.37,53490,0,1,Union
165,3.9,0.732174385,31461,406369.5,0.44,1167,0.47,6410,1,1,USF
166,3.7,0.92972973,2456,398823.0,0.82,1314,0.68,35190,0,0,Wheaton
167,3.3,0.5328014179999999,20215,398455.0,0.23,1040,0.47,7150,1,1,UNM
168,3.78,0.966183575,2420,398049.5,0.81,1360,0.48,52930,0,1,Dickinson
169,3.7,0.92238806,1031,394826.0,0.65,1315,0.58,45750,0,0,Earlham
170,3.7,0.953692115,2289,388410.0,0.71,1335,0.55,44400,0,1,Clark
171,3.6,0.9185441940000001,2062,381923.5,0.76,1304,0.46,52838,0,1,Oxy
172,3.67,0.8747632879999999,19324,380160.0,0.7,1233,0.49,14880,1,1,UConn
173,3.5,0.912317328,3483,379057.5,0.5,1152,0.66,46346,0,1,Pacific
174,3.4,0.976190476,7099,377919.5,0.69,1095,0.76,46780,0,0,QU
175,3.7,0.8829268290000001,1731,367797.5,0.79,1295,0.44,45120,0,1,Sewanee
176,3.5,0.920197044,2125,354886.5,0.71,1015,0.53,28181,0,1,Spelman
177,3.7,0.960212202,843,341020.0,0.64,1145,0.63,42250,0,1,Wabash
178,3.3,0.914032698,18313,337755.0,0.22,1030,0.82,1943,1,1,WMU
179,3.68,0.925233645,2680,335776.0,0.85,1239,0.29,52446,0,1,Skidm
180,3.3,0.909277294,7014,334584.0,0.53,1200,0.6,47330,0,1,The
181,4.0,0.7473672290000001,29546,330564.5,0.55,1226,0.42,14382,1,1,UoC
182,3.9,0.92519685,1999,329070.5,0.77,1306,0.54,46504,0,1,Rhodes
183,3.81,0.944816054,2255,320093.0,0.83,1375,0.36,54380,0,1,Franklin
184,3.46,0.669511902,24838,319987.5,0.23,1084,0.9,7174,1,1,USU
185,3.6,0.9611764709999999,2508,316018.5,0.7,1290,0.79,48090,0,1,UoPS
186,3.33,0.9558198809999999,3241,315306.5,0.62,1195,0.8,44060,0,1,The
187,3.5,0.9564516129999999,4032,313656.5,0.78,1270,0.61,47165,0,0,Fairfield
188,3.4,0.922339406,6745,307343.5,0.62,1172,0.71,46250,0,1,USF
189,3.6,0.7670557290000001,18191,304642.5,0.23,1084,0.83,7599,1,1,UoN
190,3.4,0.8111676520000001,17280,303894.5,0.13,1070,0.68,13278,1,1,Wayne
191,4.0,0.912280702,1039,300516.0,0.8,1362,0.3,52966,0,1,Scripps
192,3.3,0.663585003,7239,297936.5,0.15,1058,0.73,8144,1,1,UAA
193,3.8,0.8761220829999999,2588,291639.5,0.83,1357,0.17,52662,0,1,Barnard
194,3.6,0.8766531359999999,25177,283851.5,0.42,1145,0.85,11632,1,1,CSU
195,3.7,0.9749283670000001,3790,277671.0,0.77,1211,0.48,42908,0,1,Emerson
196,3.59,0.9645799009999999,6221,277671.0,0.66,1265,0.7,42884,0,0,IC
197,3.66,0.9639175259999999,4222,249287.0,0.83,1244,0.46,48000,0,0,Bentley
198,3.6,0.9694206009999999,5377,209043.0,0.72,1210,0.78,43880,0,0,St.
199,3.4,0.9664929259999999,4104,199530.0,0.76,1270,0.66,47725,0,0,Loyola
200,3.4,0.9712879409999999,4270,198600.0,0.81,1235,0.55,48760,0,0,PC
201,3.4,0.9523809520000001,1801,185790.5,0.68,1163,0.64,38590,0,0,Simmons
202,3.2,0.660674157,1121,177013.0,0.2,883,0.66,16558,0,0,Gallaudet
203,3.5,0.969278997,3867,167536.5,0.72,1134,0.75,43310,0,1,U of S
204,3.5,0.96969697,3462,164350.5,0.73,1230,0.69,42109,0,0,Bryant
205,3.5,0.95059151,2897,159158.5,0.58,1073,0.66,33905,0,1,Le
206,3.6,0.9373540859999999,5730,155900.0,0.58,1087,0.53,7936,1,0,SUNY
207,3.3,0.22654109600000003,15210,147900.0,0.38,1230,0.31,7551,1,1,CUNY--Baruch
208,3.5,0.9619820590000001,5428,141168.5,0.54,1180,0.57,39820,0,1,Sacred
209,3.6,0.93122172,2595,109696.5,0.64,1078,0.78,36454,0,1,Canisius
210,3.3,0.96895075,1815,106906.0,0.43,1057,0.63,32264,0,1,AU
211,3.3,0.225795811,16723,105700.0,0.24,1165,0.38,6780,1,0,CUNY--Hunter
212,3.4,0.818360656,3575,103400.0,0.23,1074,0.73,35870,0,0,NYIT
213,3.5,0.975378788,2407,97500.5,0.72,1180,0.78,36260,0,1,Assumption
214,3.4,0.964731815,3136,91240.0,0.6,1037,0.83,31950,0,1,NU
215,3.3,0.9149154279999999,3652,84808.0,0.57,990,0.77,29500,0,0,LSU
216,3.3,0.9762693159999999,4902,82768.5,0.55,1200,0.79,33336,0,0,RWU
217,3.5,0.9368932040000001,1174,82285.5,0.5,1150,0.71,37960,0,1,Hood
218,3.3,0.9462563159999999,6371,78549.0,0.55,1037,0.77,36733,0,0,Monmouth
219,3.6,0.951122853,2290,78396.0,0.64,1210,0.7,45380,0,0,WC
220,3.4,0.90513834,3637,77149.5,0.57,1097,0.71,40345,0,1,MMC
221,3.6,0.87145452,19198,68700.0,0.46,1081,0.74,99694,1,0,TU
222,3.3,0.929824561,3290,65859.0,0.76,1160,0.79,32154,0,0,Endicott
223,3.6,0.9555226090000001,2473,64835.5,0.58,1104,0.63,42330,0,1,AU
224,3.5,0.9691252140000001,2159,62356.0,0.58,1150,0.72,32424,0,0,Nazareth
225,3.2,0.9650655020000001,2110,61331.0,0.63,1042,0.66,36535,0,1,Springfield
226,3.7,0.965811966,1712,61011.0,0.72,1160,0.76,42180,0,1,Lebanon
227,3.4,0.94109589,1660,59120.5,0.53,1066,0.66,33301,0,0,Bona
228,3.6,0.925233645,3098,57358.5,0.47,1035,0.78,30932,0,0,Gannon
229,3.3,0.9518384259999999,4060,57288.5,0.58,1014,0.69,41310,0,1,Rider
230,3.3,0.957435897,5616,56500.0,0.75,1255,0.41,36780,0,1,Marist
231,3.3,0.976766699,2124,55478.5,0.64,1180,0.68,38986,0,1,Salve
