,GPA,Loan rate,Enrollment,Endowment,Graduation rate,SAT,Accept ratio,Tuition,Public/Private,Money_used,University_Tag,pc1,pc2,pc3,followers,tweets,following
185,3.6,0.9611764709999999,2508,316018.5,0.7,1290,0.79,48090,0,1,UoPS,0.27921334422403493,-1.7269531821240693,-0.16261588787553147,56,"392
            ",13
186,3.33,0.9558198809999999,3241,315306.5,0.62,1195,0.8,44060,0,1,The,-0.6782905283561156,-2.2103333035738455,0.6950807977205183,64.8K,"21.3K
            ",491
187,3.5,0.9564516129999999,4032,313656.5,0.78,1270,0.61,47165,0,0,Fairfield,0.5049675010422777,-1.6735829907753133,0.0031247594819536484,317,"151
            ",97
188,3.4,0.922339406,6745,307343.5,0.62,1172,0.71,46250,0,1,USF,-0.5259112793128153,-1.8435301149051775,0.6385269302858091,"1,097","1,747
            ",243
189,3.6,0.7670557290000001,18191,304642.5,0.23,1084,0.83,7599,1,1,UoN,-3.3871745799636903,0.6423255257347371,0.5196449736322314,26.4K,"10.2K
            ",516
190,3.4,0.8111676520000001,17280,303894.5,0.13,1070,0.68,13278,1,1,Wayne,-3.544139080073518,0.20740061494046705,1.0156839169263303,"1,376","2,082
            ",208
191,4.0,0.912280702,1039,300516.0,0.8,1362,0.3,52966,0,1,Scripps,2.274056408488409,-0.46269611760042867,-0.9628931436281501,"5,375","8,717
            ","1,413"
192,3.3,0.663585003,7239,297936.5,0.15,1058,0.73,8144,1,1,UAA,-3.518982188143805,0.14118515788491184,2.103574395427542,"7,187","1,912
            ",316
193,3.8,0.8761220829999999,2588,291639.5,0.83,1357,0.17,52662,0,1,Barnard,2.246038808201094,-0.49032933280472824,-0.4047571568359577,27,"135
            ",4
194,3.6,0.8766531359999999,25177,283851.5,0.42,1145,0.85,11632,1,1,CSU,-2.97965455563534,0.5300718243951912,-0.46881982673946043,"1,823","3,552
            ",160
195,3.7,0.9749283670000001,3790,277671.0,0.77,1211,0.48,42908,0,1,Emerson,0.6969775117683344,-1.3257360695728149,-0.40818905394924754,22.8K,"15.2K
            ","4,858"
196,3.59,0.9645799009999999,6221,277671.0,0.66,1265,0.7,42884,0,0,IC,0.03886763902025345,-1.4752139288586594,-0.16433274913639964,25.5K,"13.3K
            ",151
197,3.66,0.9639175259999999,4222,249287.0,0.83,1244,0.46,48000,0,0,Bentley,1.0145009389597766,-1.359448277209593,-0.39699987078069177,911,"2,169
            ",227
198,3.6,0.9694206009999999,5377,209043.0,0.72,1210,0.78,43880,0,0,St.,-0.08340856090678128,-1.724469102791259,-0.19720343335294252,"7,251","9,646
            ","1,851"
199,3.4,0.9664929259999999,4104,199530.0,0.76,1270,0.66,47725,0,0,Loyola,0.23950264343393446,-1.9288048817370822,0.19480896837258851,"1,307","2,105
            ",211
200,3.4,0.9712879409999999,4270,198600.0,0.81,1235,0.55,48760,0,0,PC,0.44385901913672815,-1.91837556224979,0.18389187994334844,776,"168
            ",168
201,3.4,0.9523809520000001,1801,185790.5,0.68,1163,0.64,38590,0,0,Simmons,-0.3618572806649762,-1.975435672148805,0.5653195468941363,88,"318
            ",70
202,3.2,0.660674157,1121,177013.0,0.2,883,0.66,16558,0,0,Gallaudet,-2.8740945369922826,-1.433131849946827,3.2585126991972504,15.1K,"3,869
            ",216
203,3.5,0.969278997,3867,167536.5,0.72,1134,0.75,43310,0,1,U of S,-0.3768997456542548,-2.04220169081797,0.19168579314965212,106,"69
            ",16
204,3.5,0.96969697,3462,164350.5,0.73,1230,0.69,42109,0,0,Bryant,0.027082352894224806,-1.809639146444209,0.047327801337170725,"5,560","2,503
            ",94
205,3.5,0.95059151,2897,159158.5,0.58,1073,0.66,33905,0,1,Le,-0.8868353945017465,-1.849590546362555,0.565991572632545,"1,714","1,104
            ",21
206,3.6,0.9373540859999999,5730,155900.0,0.58,1087,0.53,7936,1,0,SUNY,-1.8693729139748194,-0.17454509372744595,-0.2670737569763495,"5,878","5,520
            ",137
207,3.3,0.22654109600000003,15210,147900.0,0.38,1230,0.31,7551,1,1,CUNY--Baruch,-1.7440674913030947,2.5099212385519323,3.212981125234477,12.3K,"8,285
            ","1,667"
208,3.5,0.9619820590000001,5428,141168.5,0.54,1180,0.57,39820,0,1,Sacred,-0.43657296603808565,-1.593431138724635,0.3684457998897644,"6,562","988
            ",29
209,3.6,0.93122172,2595,109696.5,0.64,1078,0.78,36454,0,1,Canisius,-0.7350978868135836,-1.8129171122113503,0.31895167738402214,"3,610","1,820
            ",163
210,3.3,0.96895075,1815,106906.0,0.43,1057,0.63,32264,0,1,AU,-1.5060942395979005,-2.2080819502354467,1.1938284397849208,"2,980","3,677
            ",112
211,3.3,0.225795811,16723,105700.0,0.24,1165,0.38,6780,1,0,CUNY--Hunter,-2.427984266061036,2.4273128699201862,3.439239200555299,"1,355","1,738
            ",110
212,3.4,0.818360656,3575,103400.0,0.23,1074,0.73,35870,0,0,NYIT,-1.8049009736649282,-1.5773591285903308,1.7727671165747876,"1,027","1,783
            ",317
213,3.5,0.975378788,2407,97500.5,0.72,1180,0.78,36260,0,1,Assumption,-0.4079482344663559,-1.9580836096462233,0.10269381740745408,"4,744","19.1K
            ",342
214,3.4,0.964731815,3136,91240.0,0.6,1037,0.83,31950,0,1,NU,-1.4401140895790496,-2.2636451082352917,0.7123022214421028,290,"343
            ",56
215,3.3,0.9149154279999999,3652,84808.0,0.57,990,0.77,29500,0,0,La,-1.7229977268036138,-2.2220631056744153,1.2517004240511678,10.3K,"4,058
            ",199
216,3.3,0.9762693159999999,4902,82768.5,0.55,1200,0.79,33336,0,0,RWU,-1.1392505740554815,-2.071852373343977,0.6676578350925513,427,"1,511
            ",120
217,3.5,0.9368932040000001,1174,82285.5,0.5,1150,0.71,37960,0,1,Hood,-0.7706296184710267,-1.8359741255448423,0.6502608391550443,86,"156
            ",27
